place_id,latitude,longitude,sightings,nearest_open_data_m
ChIJb5k51XT1QDURjrTcZOlf1m8,32.8034287,130.7087160,1,2.8
ChIJYXcMSQz0QDUR4Y5CPqLg-E8,32.8034287,130.7087160,1,2.8
ChIJBzhNSAz0QDURT9I-p4NgB8g,32.8034287,130.7087160,1,2.8
ChIJ-YzVgLT1QDUR6liy_W3gWvU,32.8037431,130.7094641,1,15.5
ChIJvZH4uHf1QDUR7hwwqgAORd8,32.8037431,130.7094641,1,15.5
ChIJJdoJY931QDURVKDwIWOXuOU,32.8037431,130.7094641,1,15.5
ChIJSwQdmoj1QDURnBmyIwuLFvo,32.8037431,130.7094641,1,15.5
ChIJHxq01Wv1QDURdpUHn1U5ZPg,32.8037431,130.7094641,1,15.5
ChIJUU_1x-X1QDURK1fHR8cGS98,32.8037431,130.7094641,1,15.5
ChIJ7afda7P1QDURmdQOVA1oF_s,32.8037431,130.7094641,1,15.5
ChIJVZ1sHQD1QDURdELl7RmKcvk,32.8037431,130.7094641,1,15.5
ChIJZ_yuH7v1QDURSs3_3olz02I,32.8037431,130.7094641,1,15.5
ChIJiwXzCvj1QDUREDoJqSaSBPQ,32.8037431,130.7094641,1,15.5
ChIJa88mQgD1QDURavBkuCjjZUw,32.8037431,130.7094641,1,15.5
ChIJL6as6qf1QDURVRWLE2_aUio,32.8037431,130.7094641,1,15.5
ChIJxyCSbwxcGGARyM3zGRRb1jY,35.4630967,139.6153320,1,2.5
ChIJSyDtBAlcGGARM3rZIFgDngY,35.4630967,139.6153320,1,2.5
ChIJp92GbwxcGGARGNXge_DabN8,35.4630967,139.6153320,1,2.5
ChIJEx3OcQxcGGARL5XbcpdaeNU,35.4630967,139.6153320,1,2.5
ChIJBdHOjD9dGGARk142RKVZsz0,35.4632539,139.6153320,2,8.0
ChIJA9fsbgxcGGARq-cxU2iC1xo,35.4632539,139.6153320,2,8.0
ChIJA9fsbgxcGGARYnyQWxpr_jU,35.4632539,139.6153320,2,8.0
ChIJWw4yHbRdGGARlPsN2y9GLB0,35.4630967,139.6155250,2,14.3
ChIJAQBUcgxcGGARpP3WKSwnAQM,35.4632539,139.6153320,2,8.0
ChIJhVLgZwxcGGAR9-aDoB4UG0M,35.4630967,139.6157180,1,10.8
ChIJ25vDaAxcGGARFLLmsIwy7rw,35.4630967,139.6157180,1,10.8
ChIJs74EFgBdGGARBSMCCn9eVAw,35.4632539,139.6157180,2,1.8
ChIJdy68XgxcGGARBgYpbXKxymg,35.4630967,139.6161040,1,8.8
ChIJVVURVwxcGGAROuoGxsTYWEQ,35.4630967,139.6164900,1,6.8
ChIJqbgUo_xdGGARhOctb08ohYE,35.4632539,139.6164900,2,6.7
ChIJU_4qx3RdGGAR56EAXHopRQc,35.4630967,139.6168760,1,6.4
ChIJ4ZkssUNdGGARtxtNfgdUzPU,35.4630967,139.6168760,1,6.4
ChIJAZeceDBdGGARSqKL5Y54xO4,35.4634111,139.6153320,1,9.8
ChIJqXx2HJZdGGARc9pmJp8kkZQ,35.4634111,139.6161040,1,2.7
ChIJ8UM8y1tdGGARl02bVAM18qw,35.4634111,139.6161040,1,2.7
ChIJdX526QpdGGARRJOdwB7bxO0,35.4634111,139.6161040,1,2.7
ChIJQWF1RAxcGGARAsskSLTBI7Q,35.4634111,139.6161040,1,2.7
ChIJ5ZCPXd9dGGARibnokkJgPGI,35.4634111,139.6161040,1,2.7
ChIJvS_1zaddGGARfj3jeMuxq0w,35.4635683,139.6161040,2,1.1
ChIJRfYiQgxcGGAR_I68hdTY5OU,35.4634111,139.6161040,1,2.7
ChIJ8wHxQwxcGGARxCNf7oX9ypQ,35.4635683,139.6161040,2,1.1
ChIJ3TKCgfBdGGARj23k7sEcct8,35.4634111,139.6162970,2,11.2
ChIJIx_LRQxcGGAR2FawyR5HH4o,35.4635683,139.6161040,2,1.1
ChIJ7ew0sOxdGGARE9DkbsmDz-s,35.4634111,139.6164900,1,5.2
ChIJK35hUwxcGGARiUx3vFUolmE,35.4634111,139.6168760,1,13.9
ChIJx4auVAxcGGARugcWI6--sog,35.4634111,139.6168760,1,13.9
ChIJ-zSrEwxcGGARQbb31XPPvjs,35.4637255,139.6155250,2,2.7
ChIJ3YJuEwxcGGARHO4iqv-yHzI,35.4637255,139.6155250,2,2.7
ChIJ5UVpEwxcGGAR6ycoE3lF8fo,35.4637255,139.6155250,2,2.7
ChIJOXF2lfxdGGARabVsE-AB-Mg,35.4637255,139.6155250,2,2.7
ChIJp7HBANtdGGARk8u1AGg4GUM,35.4638827,139.6157180,2,4.2
ChIJVVXhQAxcGGAR0Hr7atO76g4,35.4637255,139.6161040,1,2.1
ChIJU4uE2JtdGGARc9iicD0p1X0,35.4637255,139.6161040,1,2.1
ChIJ-96UCABdGGARYpnZmiDST0o,35.4637255,139.6161040,1,2.1
ChIJWUm6-kVdGGARPNkAi71618U,35.4637255,139.6161040,1,2.1
ChIJXYJvOAxcGGARapx0MN2-600,35.4637255,139.6161040,1,2.1
ChIJXYJvOAxcGGARo64-zgVf52A,35.4637255,139.6161040,1,2.1
ChIJc9CIgbldGGARcetBJOR9pJg,35.4637255,139.6161040,1,2.1
ChIJVVXhQAxcGGARtDVIBcOSE_s,35.4637255,139.6161040,1,2.1
ChIJMwDlQAxcGGAReUPym8myj3A,35.4637255,139.6161040,1,2.1
ChIJq5Uf0W1dGGARUUd83WUjLfI,35.4637255,139.6161040,1,2.1
ChIJk9zpQAxcGGARQzZOduqd8ek,35.4637255,139.6161040,1,2.1
ChIJ792NCgBdGGARM35vtWy-0U4,35.4637255,139.6162970,2,8.3
ChIJC50ju6JdGGARP92c_8combA,35.4637255,139.6164900,1,9.6
ChIJVdc2RgxcGGARDPV1bTqAdY4,35.4638827,139.6164900,2,3.4
ChIJD66eJABdGGAR5F_1LOwdskE,35.4640399,139.6164900,1,10.2
ChIJBTeqkG1dGGARAJOYBXClcFs,35.4640399,139.6168760,1,9.7
ChIJ60PbSQxcGGARa_p_6XmmO2I,35.4640399,139.6168760,1,9.7
ChIJ66kk9updGGARwbGRyy1COG0,35.4640399,139.6168760,1,9.7
ChIJP-N7MwxcGGAR_IACLq8IlMI,35.4640399,139.6168760,1,9.7
ChIJSfXnNAxcGGARvvXBZYlaxFQ,35.4640399,139.6168760,1,9.7
ChIJNQX-SgxcGGAREgyWtqNkV8Y,35.4640399,139.6168760,1,9.7
ChIJfXYVAwxcGGARDyNJ8DAHQGo,35.4643543,139.6153320,1,55.2
ChIJl1gi6A1cGGARniXJBlP3vkc,35.4643543,139.6161040,1,9.8
ChIJ0xAYtA1cGGARWZcsEmkHBbI,35.4643543,139.6166830,2,27.9
ChIJ_dtrh-pdGGARWuQU0u4ZyOY,35.4643543,139.6168760,1,20.1
ChIJE5HudRddGGARylRBwRpJBPs,35.4643543,139.6168760,1,20.1
ChIJ56fpdj-bImAR-mIBvhhNhK8,35.5910639,140.1223669,1,1.0
ChIJ-wCJ02KbImARaj6D-x6vELU,35.5910639,140.1225602,2,16.2
ChIJfZFbZz-bImARw12r80KHGi0,35.5916927,140.1219803,1,15.2
ChIJoYkilp_0GGARpeB_uHhSydk,35.6457493,139.6695643,2,10.5
ChIJxXvYlp_0GGARz0zRkwZEsAo,35.6457493,139.6697577,1,5.0
ChIJdVeLMAX1GGARno4QRh2SazU,35.6457493,139.6697577,1,5.0
ChIJI28jkZ_0GGARudBBKwgcMjw,35.6457493,139.6697577,1,5.0
ChIJI28jkZ_0GGARMdmnm9Dso2Y,35.6457493,139.6697577,1,5.0
ChIJhwc0FIr1GGAR7LscreVFoIY,35.6457493,139.6697577,1,5.0
ChIJg1d4qgj1GGAROmOW59Rh-cE,35.6457493,139.6697577,1,5.0
ChIJA6UcPWX1GGAR1B5U5CfMErk,35.6457493,139.6697577,1,5.0
ChIJb8WuMAD1GGAR4qerJU6u86k,35.6457493,139.6697577,1,5.0
ChIJ6auRk5_0GGARduRGGORQTQU,35.6459065,139.6697577,2,6.4
ChIJUbsYHCP1GGARPa4n9f6LrPs,35.6459065,139.6697577,2,6.4
ChIJe55NhZ_0GGARuSPBwoFS0Pc,35.6457493,139.6701446,1,5.2
ChIJ3aaymp_0GGARdOcZQ2tBn5s,35.6457493,139.6701446,1,5.2
ChIJe55NhZ_0GGARriG6_FowK5Y,35.6457493,139.6701446,1,5.2
ChIJ5_GMWqv1GGAR35wOkfr2lHo,35.6457493,139.6701446,1,5.2
ChIJe55NhZ_0GGARPwFijGMrTyE,35.6457493,139.6701446,1,5.2
ChIJS3mbal71GGARYaNYh1lbtkA,35.6457493,139.6701446,1,5.2
ChIJRVW9mp_0GGAR7eqlL3YFCuw,35.6457493,139.6701446,1,5.2
ChIJlTD1S5_0GGARBsYCtw5u3aY,35.6459065,139.6701446,2,1.9
ChIJS-EMj5_0GGARnOyuyLir3sA,35.6459065,139.6701446,2,1.9
ChIJxUAMj5_0GGARW19kj-HEEKQ,35.6459065,139.6701446,2,1.9
ChIJlTUGhp_0GGARHhWT9W_vC60,35.6457493,139.6701446,1,5.2
ChIJB9vRpzX1GGARUDA4_SU58GU,35.6459065,139.6701446,2,1.9
ChIJl2rwR7r1GGAR9amhi-lfnxk,35.6459065,139.6701446,2,1.9
ChIJRcHLhJ_0GGARrUuIXQFKLhE,35.6457493,139.6701446,1,5.2
ChIJN8nCa-f1GGARWHrxMwi1U3o,35.6460637,139.6689839,1,26.7
ChIJX1afFfv1GGARD2feKWQDeb8,35.6460637,139.6693708,1,6.5
ChIJLR5GdS31GGARLOmJ0Q5lUwU,35.6462733,139.6694998,3,12.6
ChIJ4R5n6p_0GGAR_kaFQ1eKls4,35.6462733,139.6694998,3,12.6
ChIJ4R5n6p_0GGARluYwKRBJ3Ew,35.6462733,139.6694998,3,12.6
ChIJ3dnmbwD1GGARMia965JazYo,35.6460637,139.6697577,1,2.0
ChIJdVGRk5_0GGARzOqyxI5Fsak,35.6460637,139.6697577,1,2.0
ChIJLyRHk5_0GGARe-E5KaTU_Nk,35.6460637,139.6697577,1,2.0
ChIJW7Z5k5_0GGARRcmP409q11I,35.6460637,139.6697577,1,2.0
ChIJ6auRk5_0GGARFrbysVq1ieY,35.6460637,139.6697577,1,2.0
ChIJmzTsGWn1GGAR90VdV3lpkHk,35.6460637,139.6697577,1,2.0
ChIJFyi3k5_0GGARBJdKMAeI-1I,35.6460637,139.6699512,2,2.0
ChIJH21Ak5_0GGAR_f9NDvW_MHs,35.6462209,139.6697577,2,2.6
ChIJW37bJuj1GGARAI85wjiYxvQ,35.6460637,139.6699512,2,2.0
ChIJGxuuk5_0GGARtGAmyKZRNqY,35.6460637,139.6699512,2,2.0
ChIJFyi3k5_0GGARsOW7JvBNNLU,35.6460637,139.6699512,2,2.0
ChIJ2eM_2BP1GGARQ0CwWWzYvcA,35.6462209,139.6697577,2,2.6
ChIJoUmikZ_0GGARIAFXRs4P9X4,35.6460637,139.6699512,2,2.0
ChIJoUmikZ_0GGAR75jYC2cz9YU,35.6460637,139.6699512,2,2.0
ChIJhWhzjp_0GGARUl7_8QmjhFA,35.6460637,139.6701446,1,1.9
