overture_id,google_place_id,name,name_query,address_query,latitude,longitude,postcode,basic_category,overture_confidence,match_rule,match_detail,confidence_tier,geo_verification
01514052-07aa-4506-a6f5-3f9a87207d42,ChIJW50D6ebdAGARZ257OdjC84k,ドミノ・ピザ 平野宮町店,ドミノ・ピザ 平野宮町店,大阪府大阪市平野区平野宮町1丁目4−20,34.6274776,135.5524368,547-0046,restaurant,0.999,box_unique_strict,tight_unique_in_ab,A,confirmed
015ed282-7a55-4835-9ba4-074eb05457be,ChIJAfmAhXe82F8RICweI1R9AuE,크리스피크림 속초점,크리스피크림 속초점,,38.2030926,128.5905533,,casual_eatery,0.770,box_unique_strict,tight_unique_in_ab,A,confirmed
016be5dc-6789-4ff5-a71e-bfb4c92f24de,ChIJR5gt6QyLGGARE_BaaKzI1Hw,Nepenjiはなれ,Nepenjiはなれ,渋谷区,35.6445694,139.7074966,,bar,0.913,box_unique_strict,tight_unique_in_ab,A,confirmed
016e3422-f417-4674-bb58-dccd73230cd4,ChIJ8-oujAfzGGARzrUVIQxkcv8,香港亭明大前,香港亭明大前,東京都世田谷区松原1丁目36−7,35.6686420,139.6507187,156-0043,restaurant,0.997,box_unique_strict,tight_unique_in_ab,A,confirmed
0179d84d-37c4-49c4-9240-31eb56efd6fa,ChIJgczW7Zm3PzURCj2KfvoqFQM,焼肉なべしま出水店,焼肉なべしま出水店,鹿児島県出水市黄金町515−1,32.1038990,130.3448410,899-0125,restaurant,0.978,box_unique_strict,tight_unique_in_ab,A,confirmed
017db578-272d-48dd-a20c-5a7d987797c2,ChIJT_AIXAz0QDUR0LXq1wlieYg,魚匠 Dining 八潮,魚匠 Dining 八潮,熊本県熊本市中央区下通1丁目3−1,32.8025875,130.7089920,860-0807,bar,0.996,box_unique_strict,tight_unique_in_ab,A,confirmed
0188b2a8-cab6-49ad-bdad-8dbb22b8453c,ChIJDzomxb3lGGAR4f5bEtUGn5k,手打ち蕎麦七彩,手打ち蕎麦七彩,東京都小金井市本町5丁目38−13,35.7043934,139.5058670,184-0004,restaurant,0.940,box_unique_strict,tight_unique_in_ab,A,confirmed
019cf95e-b94c-4b74-a37f-855ae0d76abc,ChIJl9s_zamSGGARj-bs7pqSQZY,やよい軒要町店,やよい軒要町店,東京都豊島区要町1丁目1−10,35.7329578,139.6987305,171-0043,restaurant,0.995,box_unique_strict,tight_unique_in_ab,A,confirmed
019d55bf-6a3d-413a-9d92-b77b947cf323,ChIJAYU90AjSBGAR7FTTBiCYakQ,ボンとらや カルミア店,ボンとらや カルミア店,愛知県豊橋市花田町西宿無番地,34.7631550,137.3824844,440-0075,casual_eatery,0.770,box_unique_strict,tight_unique_in_ab,A,confirmed
019e8df2-5c17-4e45-b51d-49a855a42da9,ChIJq6rqiO-LGGARJgEomy4Y78Q,Yugentei Yurakucho Marion,Yugentei Yurakucho Marion,東京都中央区佃1丁目4−5,35.6736774,139.7624588,104-0051,restaurant,0.756,box_unique_strict,tight_unique_in_ab,A,confirmed
019eda3a-ef55-4392-a3c6-57af43f45cbf,ChIJRVM1RgSLGGARE7ClC8SVWXI,The SG Tavern,The SG Tavern,"東京都千代田区Marunouchi, 1 Chome−4−1 Marunouchi Eiraku Building, 1階",35.6844997,139.7644882,100-0005,bar,0.959,box_unique_strict,tight_unique_in_ab,A,confirmed
01a3fb47-276a-4399-a7ba-10902e5d3b60,ChIJCUdl1ZflGGAR68hNzzBO6jQ,魚やの台所,魚やの台所,東京都小金井市本町2丁目6−10,35.7032528,139.5076523,184-0004,restaurant,0.997,box_unique_strict,tight_unique_in_ab,A,confirmed
01a5ceb7-8947-4216-91f4-8e554a6a01f1,ChIJ40qBGkGLGGAR-Z54hDjFv6U,とり家ゑび寿恵比寿店,とり家ゑび寿恵比寿店,東京都渋谷区恵比寿西1丁目9−1,35.6472301,139.7083054,150-0021,restaurant,0.994,box_unique_strict,tight_unique_in_ab,A,confirmed
01a6a4a2-0063-44fe-aee9-c9004fdbbdaa,ChIJgybdLogbAWARH3HgId5g6IY,ガスト 枚方田口店,ガスト 枚方田口店,大阪府枚方市田口1丁目48−5,34.8251247,135.6767349,573-1162,restaurant,0.999,box_unique_strict,tight_unique_in_ab,A,confirmed
01aca283-6098-4525-a7ff-e47a27c4ef60,ChIJr0MTd5_0GGARCEaj8yJJgZ8,和食 島田洋服店,和食 島田洋服店,東京都世田谷区太子堂4丁目25−3,35.6450176,139.6700516,154-0004,restaurant,0.996,box_unique_strict,tight_unique_in_ab,A,confirmed
01b52fe7-483b-4311-ad5d-9d1bbcadd918,ChIJeZd_LC3zGGARD6LA8gq5ydc,喜多方ラーメン坂内新宿パークタワー店,喜多方ラーメン坂内新宿パークタワー店,東京都新宿区西新宿3丁目7−1,35.6853771,139.6908951,163-1001,restaurant,0.986,box_unique_strict,tight_unique_in_ab,A,confirmed
01b95d79-1d5e-44dc-9b68-f1bd28d2013f,ChIJoQhC6yFdGGARKfYxUWOgQsY,串揚処 なんでやねん！,串揚処 なんでやねん!,神奈川県横浜市西区南幸2丁目8−1,35.4639339,139.6184235,220-0005,restaurant,0.978,box_unique_strict,tight_unique_in_ab,A,confirmed
01bc0aa9-4ad7-4e8d-bc44-12f1dfb38f4e,ChIJa8rz7oR_aDUReyTTYuvl3MY,피자삼촌,피자삼촌,,35.3593655,129.3564835,,restaurant,0.871,box_unique_strict,tight_unique_in_ab,A,confirmed
01c230ce-e777-4d04-87e0-c1cbc936f279,ChIJq6qqKXAz-F8RU4E7PZUZtMQ,富山柿山 金沢エムザ店,富山柿山 金沢エムザ店,金沢市,36.5722198,136.6551056,,,0.758,box_unique_strict,tight_unique_in_ab,A,confirmed
01d443f5-5d24-4891-b34f-d388ac8019bf,ChIJ68d33HHKQTURp-Wda2HTDhw,REPAS,REPAS,佐賀県佐賀市白山1丁目1−9,33.2548695,130.2990952,840-0826,bar,0.997,box_unique_strict,tight_unique_in_ab,A,confirmed
01e10b13-925c-48c7-83a4-83a2a926fa63,ChIJ385xzs1nH2ARs1yY6GSgVHQ,Bar 桜井 パイプのけむり,Bar 桜井 パイプのけむり,栃木県宇都宮市曲師町5−4,36.5598545,139.8847885,320-0803,bar,0.872,box_unique_strict,tight_unique_in_ab,A,confirmed
01ea97fb-a5ca-410e-ac8e-e0bb40707d59,ChIJD6TsA-GKGGARaJhqMSMAY7A,あざみ,あざみ,東京都品川区西五反田5丁目1−20,35.6258373,139.7143478,141-0031,restaurant,0.970,box_unique_strict,tight_unique_in_ab,A,confirmed
02014858-5efa-4ab7-a6e4-9283de7fec61,ChIJ4wZNAHdkAGARspFVWHe3nrk,串かつわたなべ,串かつわたなべ,兵庫県神戸市北区上津台3丁目1−19,34.8658123,135.1985016,651-1515,restaurant,0.806,box_unique_strict,tight_unique_in_ab,A,confirmed
020262d1-0ac3-4366-ae3a-ac5143abf3bd,ChIJ5QKkcPTzAGARIHTeJv0o6Fc,栄飯店,栄飯店,兵庫県宝塚市福井町32−36,34.7919788,135.3586960,665-0046,restaurant,0.956,box_unique_strict,tight_unique_in_ab,A,confirmed
0206782c-2e93-4345-8034-a2531b1a80df,ChIJHVmu1NiX9V8RChltmbu1-QM,生そば丸十,生そば丸十,新潟県長岡市1979-400 Higashikawaguchi,37.2704792,138.8594894,949-7504,restaurant,0.968,box_unique_strict,tight_unique_in_ab,A,confirmed
02100407-6a7f-40ed-90e5-f3dfc13d91b8,ChIJ-ZSFHnPlGGARw1XZb7NjApc,カプリッシォ,カプリッシォ,東京都小金井市本町2丁目20−4,35.7038670,139.5077515,184-0004,cafe,0.966,box_unique_strict,tight_unique_in_ab,A,confirmed
021195e8-62d0-4f43-b6c2-5e26fbc45f78,ChIJL6i1Pu6dA2ARMHV6vu4DkFA,Public Kanifornia,Public Kanifornia,"愛知県海部郡蟹江町Nishiki, 1 Chome−47番",35.1346607,136.7776718,497-0054,restaurant,0.917,box_unique_strict,tight_unique_in_ab,A,confirmed
02190619-5029-4de7-b712-d0140dc5e2f8,ChIJmRG6WG6LGGARfcdc4cps1M8,THE CELLAR Ginza,THE CELLAR Ginza,"東京都中央区Ginza, 6 Chome−2−1 Daiwa銀座ビル 1F リーデル銀座店内",35.6719418,139.7608414,104-0061,food_and_beverage_store,0.877,box_unique_strict,tight_unique_in_ab,A,confirmed
021acc86-86cf-4733-adf1-b5016de75078,ChIJrbaKo3aPfDUR6ht2A6leYYQ,멕시카나 덕이가좌점,멕시카나 덕이가좌점,,37.6959190,126.7344589,,restaurant,0.905,box_unique_strict,tight_unique_in_ab,A,confirmed
021c27d4-ab93-4be9-9b7f-32f8504d3107,ChIJ6Y6YpLtnH2ARYcSjtGuaR2k,居酒屋茶々丸,居酒屋茶々丸,栃木県宇都宮市池上町2−2,36.5613270,139.8823318,320-0801,restaurant,0.977,box_unique_strict,tight_unique_in_ab,A,confirmed
022a866e-8d86-4b73-b87c-a2cfda80bd50,ChIJhQTmBo-vcl8Runoel7VPwEc,めしや 爽,めしや 爽,北海道常呂郡訓子府町元町54,43.7283535,143.7383804,099-1437,bar,0.770,box_unique_strict,tight_unique_in_ab,A,confirmed
022f9b02-7a16-4c5d-a5a2-71cd924fa7a3,ChIJDZzBPQCPGGARNrrcmCwZjJ0,浅草 工事現場,浅草 工事現場,"東京都台東区Nishiasakusa, 2 Chome−25−15 ブランシール浅草 105",35.7137623,139.7913818,111-0035,bar,0.910,box_unique_strict,tight_unique_in_ab,A,confirmed
0234f3ac-227c-4bea-8bad-f3a75d1b46f5,ChIJmdEbESLnAGARK_9twqCHG5c,幸作 堺筋３号館,幸作 堺筋3号館,大阪府大阪市中央区船場中央1丁目4−3,34.6818867,135.5071335,541-0055,restaurant,0.978,box_unique_strict,tight_unique_in_ab,A,confirmed
023740db-a019-42b4-b9d9-4d7ff398666d,ChIJy9MI-wxcGGARLVJJ9fGRFsI,串串,串串,神奈川県横浜市西区岡野1丁目9−1,35.4625874,139.6167374,220-0073,restaurant,0.968,box_unique_strict,tight_unique_in_ab,A,confirmed
02378566-8fd2-455e-9a9e-ee44ccde1d15,ChIJ2cA8Jr_hbjURtRWSwx2oFtg,공간이음,공간이음,,35.1817608,128.2637253,,cafe,0.650,box_unique_strict,tight_unique_in_ab,A,confirmed
024156d7-1d35-4a72-8b50-371ac0abf47f,ChIJuSmpbpEoC18Rfzi_hOlAwUo,味覚園新川店,味覚園新川店,北海道札幌市北区北区新川4条5丁目1-1,43.1030235,141.3162613,001-0924,restaurant,0.996,box_unique_strict,tight_unique_in_ab,A,confirmed
02439e40-1ec5-49a5-8175-1cae5f5c7a26,ChIJX-4vpif0GGARLARfLM3fxWA,もつ焼 のんき 溝口店,もつ焼 のんき 溝口店,神奈川県川崎市高津区高津区溝口1-1-30,35.5983639,139.6113663,213-0001,restaurant,0.770,box_unique_strict,tight_unique_in_ab,A,confirmed
0245bea8-3c83-4b0f-bb9f-9b9302ab0ac0,ChIJJT5l933CaDURaU4Q1hZ87Jc,해주냉면,해주냉면,,35.1006413,128.9817429,,restaurant,0.881,box_unique_strict,tight_unique_in_ab,A,confirmed
024dd8ce-39ef-4586-97da-e464c8a5d289,ChIJySeMogZePjUR6u4OMWSN_Ys,名山堀 わさん,名山堀 わさん,鹿児島県鹿児島市名山町4-27,31.5957012,130.5580215,892-0821,restaurant,0.770,box_unique_strict,tight_unique_in_ab,A,confirmed
025029a8-712d-483d-927e-856e5d7caab8,ChIJG-T5YUP0GGAR8iiTrniqD64,CoCo壱番屋,CoCo壱番屋,東京都世田谷区上野毛1丁目13−7,35.6118374,139.6385422,158-0093,restaurant,0.999,box_unique_strict,tight_unique_in_ab,A,confirmed
026169a6-31bb-4044-85f6-d9076cf39731,ChIJ-eWXdanvAGAR_HKkjomkvAk,モンパルナス,モンパルナス,大阪府豊中市庄内西町2丁目15−8,34.7507496,135.4730606,561-0832,cafe,0.964,box_unique_strict,tight_unique_in_ab,A,confirmed
0267b5e6-852a-41cf-abf0-11b624c6f9fd,ChIJZ2gWGrePHmAR56eAHT-83ac,かっぱ寿司安中店,かっぱ寿司安中店,群馬県安中市高別当140−1,36.3225422,138.8804855,379-0132,restaurant,0.999,box_unique_strict,tight_unique_in_ab,A,confirmed
026ae346-482b-4ebf-959e-494249333868,ChIJwdiOgxCEHWARsb86GpUq9CY,三幸軒川中島店,三幸軒川中島店,長野県長野市稲里町中氷鉋1197−3,36.6112442,138.1725006,381-2215,restaurant,0.981,box_unique_strict,tight_unique_in_ab,A,confirmed
0277144b-cf48-41c6-93c3-53353093ea4d,ChIJi-lCJu-LGGAREV1xxSQ-QTw,Salle a Manger,Salle a Manger,東京都中央区銀座7丁目2−8,35.6706715,139.7603302,104-0061,restaurant,0.998,box_unique_strict,tight_unique_in_ab,A,confirmed
02800470-e884-4331-909f-40a625919406,ChIJUwC4GNBwA2AR1H7b2i2uB_A,遊食酒房順,遊食酒房順,愛知県名古屋市中区栄4丁目12−5,35.1673527,136.9113998,460-0008,restaurant,0.717,box_unique_strict,tight_unique_in_ab,A,confirmed
028fbb50-2c89-484e-aee7-a9d04cbc6af2,ChIJGcHBcKTzGGARx4glHR_avIw,Galette Deco,Galette Deco,"東京都渋谷区Sasazuka, 3 Chome−19−6 萩原ビル 1階",35.6769581,139.6673965,151-0073,restaurant,0.903,box_unique_strict,tight_unique_in_ab,A,confirmed
