cell_n	region	city	category_label	category_qid	google_place_id	usable_posts_now	unresolved_stock
4	広島県	広島市	焼肉	Q844466	ChIJ85OIT2ifWjURgTBlT0jdvg0	2	0
4	広島県	広島市	焼肉	Q844466	ChIJV7Oeo7-fWjUR29U4s3SHWwA	1	0
4	広島県	広島市	焼肉	Q844466	ChIJ2wOeqTOjWjURiCVXcwLYnZ8	1	0
4	愛媛県	東温市	カフェ	Q30022	ChIJQR5r_s3pTzUR0qlUWwtIi8A	1	0
4	愛媛県	松山市	焼肉	Q844466	ChIJwfLhhTHpTzURJnTjSe8v4tE	6	0
4	愛媛県	松山市	焼肉	Q844466	ChIJYdpBu7zlTzURKc3j8T8E5V4	1	0
4	愛媛県	松山市	焼肉	Q844466	ChIJVw9PirzlTzURDwOiDOZQFCw	1	0
4	愛媛県	松山市	焼肉	Q844466	ChIJ53YisHzvTzURMlvW_pz0nww	2	0
4	愛媛県	松山市	焼肉	Q844466	ChIJBShoblLlTzURKJzqxIel1eY	1	0
4	愛媛県	松山市	焼肉	Q844466	ChIJU5u39CfmTzURDPPC7KxVezQ	1	0
4	東京都	中野区	焼肉	Q2431975	ChIJba51cJnzGGARj-RT0N_fmBM	2	0
4	東京都	千代田区	寿司	Q46383	ChIJI0v-7a2NGGARsZDSFsHKkAY	9	0
4	東京都	台東区	和食	Q234138	ChIJ2SXVhq-PGGAR2jIm4nvcOQE	11	2
4	栃木県	日光市	カフェ	Q30022	ChIJAchLvDefH2ARWXdiijQf1Yc	1	0
4	滋賀県	草津市	焼肉	Q844466	ChIJe2kzI3lzAWARkZWaH1TSRiE	3	0
4	滋賀県	草津市	焼肉	Q844466	ChIJ60nqNfpzAWARrjV5TOWGv2Q	4	0
4	熊本県	熊本市	お好み焼き	Q701075	ChIJGxBhxXPzQDURaTKPL7nVQO8	1	0
4	石川県	白山市	そば	Q753910	ChIJJa-d3aY1-F8RGyJX92VGs8A	1	0
4	石川県	白山市	そば	Q753910	ChIJCc_hMrxJ-F8R2UX5xe-ylAY	1	0
4	石川県	金沢市	天ぷら	Q328709	ChIJuaTI8X80-F8RY5t2CAz0kfc	1	0
4	福岡県	久留米市	ラーメン	Q234646	ChIJK65UKculQTURq9dQfaHt8hA	1	0
4	福岡県	北九州市	焼肉	Q844466	ChIJx3Kh0Te_QzURyoruJ_PcbXk	1	0
4	福岡県	北九州市	焼肉	Q844466	ChIJWw_hZXi_QzURegattOm2GHk	1	0
4	福岡県	北九州市	焼肉	Q844466	ChIJLxS4O3LNQzURSnT3Epfh0aU	1	0
4	秋田県	秋田市	焼肉	Q2431975	ChIJz5tSJ-fCj18ROFW8Zj5-0fs	1	0
4	秋田県	秋田市	焼肉	Q2431975	ChIJLca9Z-rdj18R6djCVMhxufo	1	0
4	長崎県	長崎市	ラーメン	Q234646	ChIJxV4mvqWtajURyGGHx1D1HpE	1	0
4	静岡県	沼津市	餃子	Q107014807	ChIJZ0HJ8haFGWARG6Yz5lhJcZw	1	0
4	鳥取県	鳥取市	焼肉	Q2431975	ChIJl-FNIT6OVTUR-hElGjOYyvc	1	0
4	鳥取県	鳥取市	焼肉	Q844466	ChIJeePmluePVTURJgM2Inm0aTk	1	0
4	鳥取県	鳥取市	焼肉	Q844466	ChIJOZJyfm6PVTURel0t02LJLHM	1	0
4	鳥取県	鳥取市	焼肉	Q844466	ChIJDYKwG6mPVTURVTg4-NT_yQY	4	0
3	京都府	京都市	うどん	Q471861	ChIJLwY0EwAJAWARGaBd4EVHiR4	1	0
3	佐賀県	武雄市	カフェ	Q30022	ChIJfZj1I0kpQDUR29_tE4iIdEg	2	0
3	兵庫県	尼崎市	居酒屋	Q1193068	ChIJfZA0DufvAGAR5gszC-uAN-E	1	0
3	兵庫県	尼崎市	居酒屋	Q1193068	ChIJGa7LTADxAGARmDMcGLqgxm4	1	0
3	北海道	旭川市	焼肉	Q2431975	ChIJ-TfsnbTlDF8RDIuqWlQ3H58	1	0
3	千葉県	千葉市	焼肉	Q2431975	ChIJ236wFwCBImAReBNfjXmInzg	1	0
3	千葉県	千葉市	焼肉	Q2431975	ChIJYXyXMRyFImAR0wEQhWMiyXU	1	0
3	千葉県	船橋市	餃子	Q107014807	ChIJAQDwwdd_GGARgg3GRUbciMM	1	0
3	和歌山県	和歌山市	クレープ	Q12200	ChIJcw5q17qzAGARHkWwuPAKGgc	1	0
3	和歌山県	和歌山市	焼肉	Q2431975	ChIJWaaPfS-zAGARHdVkbrhCUJw	1	0
3	和歌山県	和歌山市	焼肉	Q2431975	ChIJ_ZnG1l2zAGARlfuY8IZ0CkQ	1	0
3	和歌山県	和歌山市	焼肉	Q2431975	ChIJuzUdA9GzAGARBAw3YVIZBxc	1	0
3	埼玉県	川越市	居酒屋	Q1193068	ChIJe1LDiVvaGGARxWZKRHNpTJ0	1	0
3	大分県	別府市	そば	Q753910	ChIJ94edpWOnRjURxwwKgRAmAZw	1	50
3	大分県	別府市	そば	Q753910	ChIJXbl9VKWnRjURDfKEiKuCJX0	42	0
3	大阪府	大阪市	おでん	Q655040	ChIJ7e5ETQDnAGAR1ZcS3ZfOjuI	2	0
3	奈良県	大和郡山市	カフェ	Q30022	ChIJ7UBl5Y46AWARNK6d68PSV2E	1	0
3	奈良県	奈良市	ピザ	Q177	ChIJO-LOl6o7AWARtww0jE8yY9w	2	0
3	宮崎県	宮崎市	餃子	Q107014807	ChIJdxa4TGu3ODURKAB0KZ0_i18	1	0
3	山形県	天童市	定食	Q117231375	ChIJQ6k4SHTFi18RnjzhEtewtfM	1	0
3	山形県	山形市	そば	Q753910	ChIJr1ZW6C3Ii18Rc8_xUIZNjfM	1	0
3	山形県	山形市	そば	Q753910	ChIJo5R_xy20i18RqcrY0RulNuE	1	0
3	山形県	山形市	そば	Q753910	ChIJsb64nNbIi18Rm0w3TqlTcBs	1	0
3	山形県	山形市	そば	Q753910	ChIJz2wZIp7Hi18RFMG7pNsOLIo	1	0
3	山形県	山形市	そば	Q753910	ChIJ2WnCNAC3i18RE42wVAbz1Dc	5	0
3	山形県	山形市	そば	Q753910	ChIJNW53RgC1i18RkC_S82K6poI	1	0
3	山形県	山形市	そば	Q753910	ChIJ_zCmH6e3i18RdGxpaCTT-qc	1	0
3	山梨県	中央市	カフェ	Q30022	ChIJ-bI1uWPwG2ARKjJeB6HngyM	1	0
3	山梨県	中巨摩郡昭和町	居酒屋	Q1193068	ChIJO3m-x233G2ARi9yxALHiGJ8	1	0
3	岡山県	倉敷市	そば	Q753910	ChIJQ6qLU2v_UzUR_zhRmfA1Sw8	7	0
3	岩手県	盛岡市	居酒屋	Q1193068	ChIJOaDdYHZ3hV8RbQ0YP6QPrr8	1	0
3	広島県	広島市	うどん	Q471861	ChIJOzPv95-fWjURAe5QDf92b-k	1	0
3	広島県	広島市	フライドチキン	Q108798661	ChIJVVQ8Q1ShWjURNykEmE8Rl3A	1	0
3	徳島県	徳島市	焼肉	Q2431975	ChIJz-jxhV9tUzURXAYZwZVXaQg	2	0
3	愛媛県	松山市	天ぷら	Q328709	ChIJk4jnfUflTzURece-qIZjsdw	1	0
3	愛知県	名古屋市	餃子	Q640769	ChIJd8LKfAB7A2AR7BGjF9MBgb4	1	0
3	愛知県	名古屋市	餃子	Q640769	ChIJ30ArNgBxA2AR4kEvMWzPmMg	1	0
3	愛知県	名古屋市	餃子	Q640769	ChIJXafKkkhxA2ARrYa9jrA1VFI	1	0
3	愛知県	名古屋市	餃子	Q640769	ChIJSYpI_zVjA2ARlsFTSQ4dlMY	1	0
3	新潟県	新潟市	そば	Q753910	ChIJD1g45UbL9F8R0Ok09esLWiU	2	0
3	新潟県	新潟市	そば	Q753910	ChIJH5MZbOHL9F8Rg_mSPFL87T0	1	0
3	新潟県	新潟市	そば	Q753910	ChIJZXduAaHJ9F8RSFwLE-GtERc	1	0
3	新潟県	新潟市	そば	Q753910	ChIJd7cq7RzB9F8R9eXEUVTHW7E	1	0
3	東京都	世田谷区	そば	Q753910	ChIJU_vi2Wv1GGARCLKhgOQhHkM	1	0
3	東京都	世田谷区	焼肉	Q2431975	ChIJtYMKLzP1GGARxSJPYkhZcBc	1	0
3	東京都	中央区	焼肉	Q2431975	ChIJA-HWQOaLGGARPbzfwDDtrSo	2	0
3	東京都	千代田区	そば	Q753910	ChIJG7MBLAWNGGARn0fFGWT7afc	108	0
3	東京都	千代田区	焼肉	Q844466	ChIJVVX5JB6MGGARapD6zSmNp9o	10	0
3	東京都	台東区	そば	Q753910	ChIJva8AzLCPGGARKnWZyUXeOyc	1	0
3	東京都	台東区	そば	Q753910	ChIJxdzM06qPGGARun2YSpuUvqE	15	0
3	東京都	新宿区	焼肉	Q844466	ChIJ85YVWACNGGARKH1gZM32cxg	43	0
3	東京都	新宿区	焼肉	Q844466	ChIJ6TQ5hvbzGGARWJ3qXJxBkQ4	1	0
3	東京都	新宿区	焼肉	Q2431975	ChIJ6TQ5hvbzGGARWJ3qXJxBkQ4	1	0
3	東京都	武蔵野市	カレー	Q164606	ChIJF3JljKPvGGARYEEkw1gFkyc	8	0
3	東京都	渋谷区	焼肉	Q844466	ChIJcaXrj1-NGGARcVzS7BVUpfk	1	0
3	東京都	渋谷区	焼肉	Q844466	ChIJ5x8PSD2NGGARN4XzWacEMuY	1	0
3	東京都	渋谷区	焼肉	Q844466	ChIJ_2_kg_WNGGAR_QSbFsxYCp8	1	0
3	東京都	渋谷区	焼肉	Q844466	ChIJ00GnFI6LGGARTt5_eGM0HiE	1	0
3	東京都	渋谷区	焼肉	Q844466	ChIJrcYramqNGGARYLra8-ibphE	10	2
3	東京都	渋谷区	焼肉	Q844466	ChIJyZjxy6uMGGARoVyVj4NxYgI	1	0
3	東京都	渋谷区	焼肉	Q844466	ChIJJVSw1U-LGGARPfiuAfhMbNQ	9	0
3	栃木県	宇都宮市	和食	Q234138	ChIJnY6BZTZhH2ARbxAZ0LSbuts	1	0
3	沖縄県	中頭郡北谷町	ステーキ	Q10859394	ChIJA0H_dDMT5TQRqKYF-QtMY2c	1	0
3	沖縄県	那覇市	焼肉	Q2431975	ChIJ_YyW7LBp5TQRrG9n7bkwPzA	1	0
3	熊本県	熊本市	ケーキ	Q13276	ChIJO9xN0OjxQDURZ1Nrd8vNYP0	1	0
3	熊本県	熊本市	和食	Q234138	ChIJJUgliL7xQDUROJaDhbhqBow	1	0
3	石川県	羽咋市	カフェ	Q30022	ChIJ7aY7Hl9u918RoatY2cTutlk	2	0
3	神奈川県	茅ヶ崎市	ラーメン	Q234646	ChIJUR97KeVNGGARDjNme4ksSSQ	1	0
3	神奈川県	茅ヶ崎市	居酒屋	Q1193068	ChIJD244yC5TGGARsQnugYh-Rfw	1	0
3	神奈川県	逗子市	カフェ	Q30022	ChIJp63RSMFGGGARTy2xnrqDKP8	1	0
3	福井県	福井市	居酒屋	Q1193068	ChIJCcZWSum--F8R8L-lUWqO9Ek	1	0
3	福島県	福島市	焼肉	Q2431975	ChIJSfK5cFyEil8RTRKXhfwJzIk	1	0
3	秋田県	横手市	カフェ	Q30022	ChIJNUrS5QkFj18RIZ3nxomjlLI	1	0
3	群馬県	前橋市	居酒屋	Q1193068	ChIJx_Og23TzHmARgWpLqEWVzDk	3	0
3	長崎県	長崎市	焼肉	Q2431975	ChIJeUhCPQBTFTURHd5nMVsw4HY	3	0
