decision	store_name	area	google_place_id	maps_url	catalog_name	catalog_address	name_agreement	similarity	box_hits	area_hits	posts	caption_excerpt
city_box_unique_strict	店名:半助	香川県高松市	ChIJTeFGhY_rUzURQmHhY0XmeC4	https://www.google.com/maps/place/?q=place_id:ChIJTeFGhY_rUzURQmHhY0XmeC4	うなぎ 焼鳥半助	香川県高松市兵庫町９−１０	DIFFERENT	0.08	1	1	1	行きたいと思ったら「行きたい！」と ⏎ コメントしてね🍻✨ ⏎  ⏎ 【半助】 ⏎ 香川で美味しい料理とお酒を楽しめる ⏎ 人気店「半助」🍻✨ ⏎  ⏎ お店自慢の料理は、どれもお酒との相性抜群！ ⏎ 一品一品こだわりが感じられて、 ⏎ ついつい箸が進む美味しさです🤤 ⏎  ⏎ 種類豊富なメニューが揃っているので、 ⏎ その日の気分に合わせていろいろな料理を
city_box_unique_strict	店名:たがみんち	香川県高松市	ChIJB_hvYADtUzURGlcyMKU9-zQ	https://www.google.com/maps/place/?q=place_id:ChIJB_hvYADtUzURGlcyMKU9-zQ					1	1	1	行きたいと思ったら「行きたい！」と ⏎ コメントしてね✨ ⏎  ⏎ 【たがみんち】 ⏎ tgmnchi ⏎  ⏎ 香川県でゆっくりランチを楽しむなら ⏎ 「たがみんち」へ🍽️✨ ⏎  ⏎ アパートをリノベーションしたおしゃれな店内で、季節に合わせたメニューが楽しめるカフェ☕️🌿 ⏎  ⏎ 子連れにも優しくて、離乳食もあって最高⭐️ ⏎  ⏎ ランチはもちろん
city_box_unique_strict	旦宵どてら	香川県高松市	ChIJNz7hpFfrUzURtia6icW4qG0	https://www.google.com/maps/place/?q=place_id:ChIJNz7hpFfrUzURtia6icW4qG0					1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【旦宵どてら】 ⏎  ⏎ 高松で朝ごはん食べるならここ！ ⏎  ⏎ 片原町駅近くにある「旦宵どてら」さんへ。 ⏎  ⏎ 今回は朝の時間に行って、銀鮭定食を食べてきました！ ⏎  ⏎ まずびっくりしたのが銀鮭の分厚さ。 ⏎ 身がふっくらしていて脂ものってて、これがめちゃくちゃ美味い。 ⏎  ⏎ しか
city_box_unique_strict	amusement bar rento.	滋賀県大津市	ChIJgxIvrkQNAWARfjOjizmte_E	https://www.google.com/maps/place/?q=place_id:ChIJgxIvrkQNAWARfjOjizmte_E					1	1	1	行ったことある人・知ってる人は感想や意見をコメントで教えてね！ ⏎   ⏎ 【AMUSEMENT BAR Rento.】 ⏎ amusementbar_rento  ⏎  ⏎ 🌙深夜なのにこんなに楽しい場所あるの知ってる？✨ ⏎  ⏎ 石山駅から徒歩2分🚶‍♀️  滋賀・大津にある「AMUSEMENT BAR Rento.」は、大人の遊び場として今じわじわ人
city_box_unique_strict	店名:bb’s new york slice	香川県高松市	ChIJp6SMc-XrUzURMS4iOXppmQ4	https://www.google.com/maps/place/?q=place_id:ChIJp6SMc-XrUzURMS4iOXppmQ4					1	1	1	行きたいと思ったら「行きたい！」と ⏎ コメントしてね🍕✨ ⏎  ⏎ 【BB’s New York Slice】 ⏎ bbsnyslice ⏎  ⏎ 香川で本場ニューヨークスタイルの ⏎ ピザが楽しめる人気店🍕✨ ⏎  ⏎ 大きなNYスタイルのピザを、 ⏎ なんと1スライスから気軽に楽しめるのが魅力！ ⏎ 香ばしく焼き上げられたピザは、 ⏎ ひと切れでも食べ
city_box_unique_strict	店名:la fresca(ラ・フスレカ)	香川県東かがわ市	ChIJg0USg_2bUzURB1BN2AEebRY	https://www.google.com/maps/place/?q=place_id:ChIJg0USg_2bUzURB1BN2AEebRY	イタリア料理 ラ フレスカ	香川県東かがわ市水主４３６−１	DIFFERENT	0.00	1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【LA FRESCA（ラ・フレスカ）】 ⏎ higashikagawa_lafresca ⏎  ⏎ 香川で話題の、本格イタリアンが楽しめるお店🍕✨ ⏎  ⏎ 卵不使用で仕上げた生パスタは、もちもち食感が ⏎ 楽しめる人気メニュー🤤 ⏎ さらに、ピザは高温で一気に焼き上げることで、 ⏎ 外は香ばしく
city_box_unique_strict	店名: héroes tacos cocina	香川県高松市	ChIJA8pQfQDrUzURyEN3a6-RInM	https://www.google.com/maps/place/?q=place_id:ChIJA8pQfQDrUzURyEN3a6-RInM					1	1	1	行きたいと思ったら「行きたい！」と ⏎ コメントしてね🌮✨ ⏎  ⏎ 【HÉROES TACOS COCINA】 ⏎ heroes_tacos_cocina ⏎  ⏎ 香川で本場メキシコのタコスが楽しめる人気店🌮✨ ⏎  ⏎ とうもろこし香る小ぶりなトルティーヤに、 ⏎ お好みの具材をのせて食べる本場スタイル！ ⏎ 種類豊富なタコスは、どれを選んでも ⏎ 素
city_box_unique_strict	店名:vesso	香川県高松市	ChIJZxiEzujrUzUR_MiRgtWgGc8	https://www.google.com/maps/place/?q=place_id:ChIJZxiEzujrUzUR_MiRgtWgGc8					1	1	1	行きたいと思ったら「行きたい！」と ⏎ コメントしてね✨ ⏎  ⏎ 【VESSO】 ⏎ vesso_cbb ⏎  ⏎ 香川で話題の、本格バーガーが楽しめるお店🍔✨ ⏎  ⏎ 肉汁あふれるジューシーなパティと、 ⏎ ふわふわのバンズが相性抜群！ ⏎ ひと口頬張ると、お肉の旨みが口いっぱいに ⏎ 広がり、最後まで夢中で食べたくなる ⏎ 美味しさです🤤 ⏎  ⏎ 
city_box_unique_strict	讃岐らーめん はまの	香川県高松市	ChIJucgKYOvCUzURa6xCwOw6Hxk	https://www.google.com/maps/place/?q=place_id:ChIJucgKYOvCUzURa6xCwOw6Hxk	讃岐らーめん はまの	香川県高松市国分寺町新居１００４−３	exact	1.00	1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【讃岐らーめん はまの】 ⏎ ramen_sanuki ⏎  ⏎ 香川県高松市にある「讃岐らーめん はまの」🍜✨ ⏎  ⏎ こちらの名物は、 ⏎ うどん県ならではの発想から生まれた「釜玉らーめん」！ ⏎  ⏎ もちもち食感の麺に卵を絡めていただく、 ⏎ 新感覚の一杯です。 ⏎  ⏎ ラーメンであり
city_box_unique_strict	あさひ川	香川県丸亀市	ChIJ0fESPWzYUzURfw6VR9q_oxM	https://www.google.com/maps/place/?q=place_id:ChIJ0fESPWzYUzURfw6VR9q_oxM	あさひ川ラーメン	香川県丸亀市柞原町４０５−４	contains	1.00	1	1	1	行きたいと思ったら「行きたい！」とコメントしてね✨ ⏎  ⏎ 【あさひ川】 ⏎  ⏎ 丸亀市で長年愛され続ける ⏎ ラーメン店「あさひ川」🍜 ⏎  ⏎ どこか懐かしさを感じる一杯は、 ⏎ シンプルだからこそ ⏎ 何度でも食べたくなる味わいです✨ ⏎  ⏎ スープと麺のバランスが絶妙で、 ⏎ 最後の一口まで飽きずに楽しめるのも魅力。 ⏎  ⏎ 地元の方はもちろ
